Субъекты РФ,адрес электронной почты,доступ к Интернету,веб-сайт в Интернете
   Белгородская область,5,5,5
   Брянская область,5,5,5
   Владимирская область,3,3,3
   Воронежская область,15,15,15
   Ивановская область,6,6,6
   Калужская область,4,4,4
   Костромская область,2,2,2
   Курская область,8,8,8
   Липецкая область,4,4,4
   Московская область,23,23,23
   Орловская область,4,4,4
   Рязанская область,6,6,6
   Смоленская область,6,6,6
   Тамбовская область,4,4,4
   Тверская область,6,6,6
   Тульская область,6,6,6
   Ярославская область,8,8,8
   г.Москва,142,142,142
   Республика Карелия,2,2,2
   Республика Коми,3,3,3
   Архангельская область,4,4,4
   Вологодская область,3,3,3
   Калининградская область,3,3,3
   Ленинградская область,1,1,1
   Мурманская область,3,3,3
   Новгородская область,1,1,1
   Псковская область,3,3,3
   г.Санкт-Петербург,61,61,61
   Ненецкий автономный округ,0,0,0
   Республика Адыгея,2,2,2
   Республика Калмыкия,1,1,1
   Краснодарский край,17,17,17
   Астраханская область,6,6,6
   Волгоградская область,12,12,12
   Ростовская область,12,12,12
   Республика Крым,6,6,6
   г.Севастополь,1,1,1
   Республика Дагестан,13,13,13
   Республика Ингушетия,2,2,2
   Кабардино-Балкарская Республика,4,4,4
   Карачаево-Черкесская Республика,2,2,2
   Республика Северная Осетия - Алания,6,6,6
   Чеченская Республика,3,3,3
   Ставропольский край,13,13,13
   Республика Башкортостан,10,10,10
   Республика Марий Эл,3,3,3
   Республика Мордовия,2,2,2
   Республика Татарстан,22,22,22
   Удмуртская Республика,7,7,7
   Чувашская Республика,4,4,4
   Пермский край,10,10,10
   Кировская область,4,4,4
   Нижегородская область,10,10,10
   Оренбургская область,6,6,6
   Пензенская область,5,5,5
   Самарская область,16,16,16
   Саратовская область,7,7,7
   Ульяновская область,5,5,5
   Курганская область,3,3,3
   Свердловская область,22,22,22
   Тюменская область,5,5,5
   Челябинская область,13,13,13
   Ханты-Мансийский автономный округ,5,5,5
   Ямало-Ненецкий автономный округ,0,0,0
   Республика Алтай,1,1,1
   Республика Бурятия,4,4,4
   Республика Тыва,1,1,1
   Республика Хакасия,1,1,1
   Алтайский край,7,7,7
   Забайкальский край,2,2,2
   Красноярский край,8,8,8
   Иркутская область,10,10,10
   Кемеровская область,7,7,7
   Новосибирская область,16,16,16
   Омская область,11,11,11
   Томская область,7,7,7
   Республика Саха (Якутия),7,7,7
   Камчатский край,2,2,2
   Приморский край,8,8,8
   Хабаровский край,9,9,9
   Амурская область,4,4,4
   Магаданская область,1,1,1
   Сахалинская область,1,1,1