,2013 г.,2014 г.,2015 г.,2016 г.,2017 г.,2018 г.,2019 г.
643 Российская Федерация,2138845.29,2866646.5,4915617.59,4124825.9,4619137.7,5630083.8,
030 Центральный федеральный округ,352733.9,637381.5,469561.7,449173.5,657791.3,595895.5,
14000000000 Белгородская область,3875.2,9063.7,3526.9,2177.19,2226.8,1262.8,
14401000000 Белгород,,,,,,,
15000000000 Брянская область,7768.0,24140.9,117342.2,32084.6,27709.9,32908.6,
15401000000 Брянск,,,,,,,
17000000000 Владимирская область,34014.6,92894.49,22627.7,24474.0,51019.0,29014.2,
17401000000 Владимир,,,,,,,
20000000000 Воронежская область,9654.2,1840.29,7251.8,13826.3,27930.0,23569.1,
20401000000 Воронеж,,,,,,,
24000000000 Ивановская область,33964.1,16043.7,11500.8,9894.6,19883.1,16384.2,
24401000000 Иваново,,,,,,,
29000000000 Калужская область,7861.5,3524.2,6380.9,11993.7,11575.6,9902.1,
29401000000 Калуга,,,,,,,
34000000000 Костромская область,7671.4,10499.1,4917.9,2936.4,3929.8,8944.9,
34401000000 Кострома,,,,,,,
38000000000 Курская область,1459.7,3027.9,1932.3,10315.7,4959.1,846.2,
38401000000 Курск,,,,,,,
42000000000 Липецкая область,3547.4,4734.39,4205.8,5642.5,8410.7,1511.6,
42401000000 Липецк,,,,,,,
46000000000 Московская область,117751.5,102398.0,65560.2,144370.4,148917.0,132576.0,
54000000000 Орловская область,2402.5,1452.8,3777.1,1229.0,732.9,50.6,
57253557000 Орел,,,,,,,
61000000000 Рязанская область,24294.6,4914.5,1951.8,6680.7,12965.5,2704.2,
61401000000 Рязань,,,,,,,
66000000000 Смоленская область,376.79,975.19,1085.8,968.09,1514.4,899.3,
66401000000 Смоленск,,,,,,,
68000000000 Тамбовская область,3421.5,6395.8,9739.0,9063.4,10862.1,5176.0,
68401000000 Тамбов,,,,,,,
28000000000 Тверская область,1158.1,5259.5,15878.8,3533.6,12600.2,3497.4,
28401000000 Тверь,,,,,,,
70000000000 Тульская область,18882.2,22732.9,21671.0,6674.0,23971.6,11626.1,
70401000000 Тула,,,,,,,
78000000000 Ярославская область,26348.1,8580.6,11052.8,25088.8,23405.5,33248.9,
78401000000 Ярославль,,,,,,,
45000000000 Город Москва столица Российской Федерации город федерального значения,48282.5,318903.5,159158.9,138220.5,265177.9,281773.2,
031 Северо-Западный федеральный округ,251429.8,276731.09,215489.4,250360.1,274055.9,383875.4,
86000000000 Республика Карелия,1744.1,64288.9,23092.7,1930.1,12206.3,22526.8,
86401000000 Петрозаводск,,,,,,,
87000000000 Республика Коми,8970.0,10244.4,5065.7,7180.1,9078.6,8203.6,
87401000000 Сыктывкар,,,,,,,
11000000000 Архангельская область,14380.7,3876.6,245.59,6601.7,3264.2,1907.8,
11401000000 Архангельск,,,,,,,
11100000000 Ненецкий автономный округ (Архангельская область),2088.7,1789.2,15.3,6391.0,2896.1,936.29,
11001000000 Архангельская область (кроме Ненецкого автономного округа),,2087.4,230.3,210.69,368.19,971.39,
19000000000 Вологодская область,17071.0,14472.1,7273.7,6372.4,9927.4,21201.2,
19401000000 Вологда,,,,,,,
27000000000 Калининградская область,31578.6,12563.6,14907.0,52841.9,57428.1,54511.8,
27401000000 Калининград,,,,,,,
41000000000 Ленинградская область,42128.7,30534.9,11131.5,5144.0,4979.39,2456.4,
47000000000 Мурманская область,5405.1,7114.0,10984.5,27140.1,18975.5,6468.2,
47401000000 Мурманск,,,,,,,
49000000000 Новгородская область,381.6,364.4,,7703.7,8.0,1.5,
49401000000 Великий Новгород,,,,,,,
58000000000 Псковская область,34.0,348.29,,,355.79,,
58401000000 Псков,,,,,,,
40000000000 Город Санкт-Петербург город федерального значения,129736.0,132923.9,142788.69,135446.1,157832.6,266598.09,
037 Южный федеральный округ (с 2010 года),94638.5,103923.3,60344.6,,,,
040 Южный федеральный округ (с 29.07.2016),,,,214257.2,150074.5,132127.5,
79000000000 Республика Адыгея (Адыгея),,1016.0,590.0,81.69,515.49,23.1,
85000000000 Республика Калмыкия,,,,9.0,12.09,12.09,
35000000000 Республика Крым,,1817.0,7955.4,2204.1,2151.8,1949.3,
35401000000 Симферополь,,,,,,,
03000000000 Краснодарский край,22515.2,30239.9,7678.2,24841.2,8154.9,11181.0,
03401000000 Краснодар,,,,,,,
12000000000 Астраханская область,42899.1,51738.1,35348.5,156298.09,116041.79,111955.5,
12401000000 Астрахань,,,,,,,
18000000000 Волгоградская область,14646.4,14558.0,6942.6,2026.8,3127.3,1262.7,
18401000000 Волгоград,,,,,,,
60000000000 Ростовская область,14577.8,6371.3,9785.3,28723.2,18878.5,5293.7,
60401000000 Ростов-на-Дону,,,,,,,
67000000000 Город федерального значения Севастополь,,,,73.0,1192.6,449.99,
038 Северо-Кавказский федеральный округ,96236.0,63288.8,92462.0,93414.9,69511.29,104453.6,
82000000000 Республика Дагестан,,,,-1249.3,-964.6,-1081.6,
82401000000 Махачкала,,,,,,,
83000000000 Кабардино-Балкарская Республика,7145.7,7496.3,384.6,3736.5,6463.0,8601.2,
83401000000 Нальчик,,,,,,,
91000000000 Карачаево-Черкесская Республика,36271.8,1779.0,1280.4,899.99,555.99,0.0,
91401000000 Черкесск,,,,,,,
90000000000 Республика Северная Осетия-Алания,27166.4,32150.0,33556.7,54128.4,24078.6,65771.6,
90401000000 Владикавказ,,,,,,,
96000000000 Чеченская Республика*,154.0,21.99,41124.3,28673.4,0.0,456.99,
96401000000 Грозный,,,,,,,
07000000000 Ставропольский край,25498.1,21841.5,16116.0,7225.9,39378.3,30705.4,
07401000000 Ставрополь,,,,,,,
033 Приволжский федеральный округ,500816.9,885678.0,1171282.2,1997315.6,2404540.7,3524968.4,
80000000000 Республика Башкортостан,36091.5,21584.69,26668.4,29721.3,23017.8,22481.3,
80401000000 Уфа,,,,,,,
88000000000 Республика Марий Эл,1188.0,5205.5,5145.1,2925.0,2931.5,4097.39,
88401000000 Йошкар-Ола,,,,,,,
89000000000 Республика Мордовия,391.49,255.3,137.19,3529.5,4013.8,4067.1,
89401000000 Саранск,,,,,,,
92000000000 Республика Татарстан (Татарстан),154285.79,222826.0,183252.4,833791.0,1484886.8,2561018.8,
92401000000 Казань,,,,,,,
94000000000 Удмуртская Республика,69016.1,84369.8,74907.2,62660.6,32321.7,29411.9,
94401000000 Ижевск,,,,,,,
97000000000 Чувашская Республика - Чувашия,4357.7,11750.2,20200.3,10152.7,16346.8,5661.4,
97401000000 Чебоксары,,,,,,,
57000000000 Пермский край,64912.0,57428.9,74762.6,40386.19,25999.7,16149.4,
57401000000 Пермь,,,,,,,
33000000000 Кировская область,8222.2,23586.0,13246.7,6275.4,5311.5,4198.4,
33401000000 Киров,,,,,,,
22000000000 Нижегородская область,65798.3,382072.8,721844.8,925141.5,768463.5,792050.6,
22401000000 Нижний Новгород,,,,,,,
53000000000 Оренбургская область,8449.0,9194.9,7463.2,11830.7,5284.8,2426.9,
53401000000 Оренбург,,,,,,,
56000000000 Пензенская область,15289.6,24213.3,10759.49,3360.0,3235.6,4712.1,
56401000000 Пенза,,,,,,,
36000000000 Самарская область,19498.0,13860.2,17126.8,10895.9,9138.0,6708.2,
36401000000 Самара,,,,,,,
63000000000 Саратовская область,42376.39,11156.7,4385.89,50542.6,13330.5,61815.2,
63401000000 Саратов,,,,,,,
73000000000 Ульяновская область,10940.8,18173.7,11382.1,6103.3,10258.7,10169.7,
73401000000 Ульяновск,,,,,,,
034 Уральский федеральный округ,371013.4,403947.5,2420047.7,451055.3,341624.8,385773.2,
37000000000 Курганская область,9050.2,7165.3,4987.5,2044.4,50899.3,5086.2,
37401000000 Курган,,,,,,,
65000000000 Свердловская область,219757.0,250772.79,2273594.79,399880.1,233430.8,192567.4,
65401000000 Екатеринбург,,,,,,,
71000000000 Тюменская область,91315.9,71184.39,82421.6,26128.2,28517.9,139476.79,
71401000000 Тюмень,,,,,,,
71100000000 Ханты-Мансийский автономный округ - Югра (Тюменская область),45344.2,33574.8,43048.3,14555.0,15154.6,17327.4,
71131000000 Ханты-Мансийск,,,,,,,
71140000000 Ямало-Ненецкий автономный округ (Тюменская область),42446.1,34986.1,34612.8,10266.1,10515.2,118787.7,
71171000000 Салехард,,,,,,,
71001000000 Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),3525.6,2623.49,4760.5,1307.09,2848.1,3361.7,
75000000000 Челябинская область,50890.3,74825.0,59043.8,23002.6,28776.9,48642.8,
75401000000 Челябинск,,,,,,,
035 Сибирский федеральный округ,316293.4,352521.8,299989.3,401600.1,,,
041 Сибирский федеральный округ,,,,,472231.2,282943.4,
84000000000 Республика Алтай,601.0,2803.0,152.6,132.3,266.5,1396.6,
84401000000 Горно-Алтайск,,,,,,,
81000000000 Республика Бурятия,11362.6,2717.4,2347.8,1911.7,3916.8,2071.9,
81401000000 Улан-Удэ,,,,,,,
93000000000 Республика Тыва,256.19,281.99,4292.0,6927.5,6703.7,41.0,
95000000000 Республика Хакасия,1115.5,2506.0,34915.4,4949.9,10725.4,7781.3,
95401000000 Абакан,,,,,,,
01000000000 Алтайский край,9173.6,8361.6,8147.0,24395.0,3651.5,1696.1,
01401000000 Барнаул,,,,,,,
76000000000 Забайкальский край,4796.4,6714.3,1059.09,4040.8,50844.3,30241.4,
76401000000 Чита,,,,,,,
04000000000 Красноярский край,48867.9,52031.2,71300.2,84695.2,106569.9,105640.9,
04401000000 Красноярск,,,,,,,
25000000000 Иркутская область,155626.7,141349.7,103392.2,151140.9,87696.4,50137.4,
25401000000 Иркутск,,,,,,,
32000000000 Кемеровская область - Кузбасс,26443.2,51198.6,43747.1,60755.6,163879.1,66377.0,
32401000000 Кемерово,,,,,,,
